page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
trainee-driving-instructor-training-declaration		not	0.01	0.01	0.01692324	0.01692324	0.01	0.00000000
training-support-and-development-standards-for-family-and-friends-foster-carers		not	0.01	0.03	0.09315939	0.20054464	0.02	0.00000000
training-support-and-development-standards-for-foster-care-evidence-workbook		not	0.01	0.04	0.08101501	0.22915640	0.01	0.00000000
transfer-a-societas-europaea-from-the-uk-se-tr03		not	0.01	0.01	0.03236094	0.03236094	0.01	0.00000000
transfer-a-societas-europaea-to-the-uk-se-tr02		not	0.01	0.01	0.11688280	0.11688280	0.03	0.00000000
transfer-of-operating-centres-schedule-4-gv72		not	0.01	0.02	0.02676449	0.03520651	0.02	0.00000000
transfer-request-form		not	0.01	0.01	0.10901060	0.10901060	0.09	0.00000000
transforming-a-public-limited-company-to-a-societas-europaea-se-fm04		not	0.01	0.01	0.09379768	0.09379768	0.03	0.00000000
transitional-certificate-of-competence-to-slaughter-or-kill-animals-application		not	0.02	0.01	0.05114431	0.05114431	0.01	0.00000000
transitional-welfare-requirements-referral-twr1		not	0.02	0.01	0.08218718	0.08218718	0.03	0.00000000
transport-manager-acquired-rights		not	0.01	0.02	0.00798912	0.01429853	0.01	0.00000000
transport-of-animals-undertaking-to-cleanse-and-disinfect-vehicles		not	0.01	0.01	0.00803423	0.00803423	0.02	0.00000000
tree-preservation-order-appeal-form		not	0.01	0.02	0.11472282	0.13589468	0.02	0.00000000
tree-replacement-notice-appeal-form		not	0.01	0.02	0.11341629	0.13494062	0.01	0.00000000
trial-leave-or-full-transfer-to-another-hospital-application-form-and-guidance		not	0.01	0.03	0.04876099	0.07718153	0.02	0.00000000
trustees-annual-report-template		not	0.01	0.03	0.03743782	0.07389059	0.01	0.00000000
trustees-annual-report-template-sorp-frs-102		not	0.01	0.02	0.02506599	0.04117498	0.01	0.00000000
trustees-annual-report-template-sorp-frs-102-charitable-company		not	0.01	0.02	0.02652187	0.04275923	0.01	0.00000000
trusts-and-estates-application-to-receive-uk-rental-income-without-deduction-of-uk-tax-non-resident-trustees-nrl3i		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
trusts-and-estates-certificate-of-deduction-of-income-tax-r185		not	0.01	0.01	0.06162128	0.06162128	0.01	0.00000000
trusts-and-estates-statement-of-income-from-estates-r185-estate-income		not	0.01	0.01	0.02860651	0.02860651	0.02	0.00000000
trusts-and-estates-statement-of-income-from-trust-r185-trust-income		not	0.01	0.01	0.02792578	0.02792578	0.02	0.00000000
trusts-and-estates-statement-of-trust-income-chargeable-on-settlor-r185-settlor		not	0.01	0.01	0.09391031	0.09391031	0.01	0.00000000
trusts-and-estates-sub-fund-election-form-sfe1		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
trusts-and-estates-trust-details-41g-trust		not	0.01	0.01	0.11802931	0.11802931	0.02	0.00000000
trusts-and-estates-trust-gains-and-capital-payments-year-ended-5-april-2014-50fs		not	0.01	0.05	0.08876629	0.20020075	0.04	0.00000000
trusts-and-estates-trustee-notification-of-tax-deducted-r185-lsdb		not	0.01	0.01	0.02729445	0.02729445	0.02	0.00000000
trusts-and-estates-vulnerable-person-election-form-vpe1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
tse-restricted-cattle-application-for-movement-licence		not	0.01	0.02	0.02559900	0.03402748	0.02	0.00000000
tse-testing-of-fallen-stock-approval-application		not	0.01	0.01	0.00547972	0.00547972	0.02	0.00000000
typhoid-and-paratyphoid-enhanced-surveillance-questionnaire		not	0.01	0.02	0.09546604	0.12930546	0.02	0.00000000
typing-of-influenza-strains-request-form		not	0.01	0.01	0.05987329	0.05987329	0.01	0.00000000
uk-advisory-panel-ukap-enquiry-proforma-form		not	0.01	0.01	0.00956211	0.00956211	0.03	0.00000000
uk-aid-match-proposal-form-for-project-funding		not	0.01	0.01	0.01968088	0.01968088	0.01	0.00000000
uk-aid-match-proposal-form-for-unrestricted-funding		not	0.01	0.01	0.01645870	0.01645870	0.01	0.00000000
uk-cni-pack		not	0.01	0.01	0.08326464	0.08326464	0.01	0.00000000
uk-southeast-asia-call-for-proposals-for-collaborative-development-awards-form--2		not	0.02	0.01	0.01035557	0.01035557	0.01	0.00000000
ukti-belgrade-internship-form		not	0.01	0.01	0.06695375	0.06695375	0.01	0.00000000
undertakings-in-lieu-of-reference-form		not	0.01	0.02	0.01248207	0.02274942	0.02	0.00000000
unilateral-notice-application-to-enter-un1		not	0.01	0.02	0.03930101	0.04887009	0.03	0.00000000
unilateral-notice-application-to-remove-un2		not	0.01	0.02	0.03833675	0.04709864	0.03	0.00000000
unilateral-notice-cancellation-un4		not	0.01	0.02	0.03956003	0.05070047	0.03	0.00000000
united-kingdom-animal-transport-certificate-and-contingency-plan-template-for-a-specific-journey		not	0.02	0.01	0.00711079	0.00711079	0.02	0.00000000
updating-registered-owners-contact-address		not	0.01	0.03	0.06267176	0.09758224	0.07	0.00000000
upgrading-of-title-application-ut1		not	0.01	0.02	0.03519793	0.04437771	0.03	0.00000000
use-of-the-intellectual-property-office-logo		not	0.01	0.01	0.01238279	0.01238279	0.02	0.00000000
use-recycled-manure-solids-as-cattle-bedding		not	0.02	0.02	0.02336054	0.04222002	0.02	0.00000000
using-animal-by-products-in-compost-or-biogas-approval-application		not	0.01	0.01	0.03022823	0.03022823	0.02	0.00000000
utc-and-studio-school-funding-agreement-single-academy-trust		not	0.01	0.02	0.03934202	0.06139240	0.03	0.00000000
utc-financial-templates		not	0.01	0.02	0.48797512	0.51854477	0.06	0.00000000
v1-online-confidential-medical-information		not	0.01	0.01	0.04856329	0.04856329	0.1	0.00000000
v1v-online-confidential-medical-information		not	0.01	0.01	0.04895020	0.04895020	0.11	0.00000000
v3551-notes-about-tax-classes		not	0.01	0.01	0.11378126	0.11378126	0.06	0.00000000
v888-request-by-an-individual-for-information-about-a-vehicle		not	0.01	0.01	0.78793316	0.78793316	0.12	0.00000000
v8882-request-by-a-company-for-information-about-a-vehicle		not	0.01	0.01	0.04135933	0.04135933	0.04	0.00000000
v8883-request-for-information-for-those-who-issue-a-parking-charge-notice		not	0.01	0.01	0.04257507	0.04257507	0.08	0.00000000
v890-statutory-off-road-notification-sorn		not	0.01	0.01	0.01981640	0.01981640	0.09	0.00000000
v900-small-islands-goods-vehicle		not	0.01	0.01	0.01752005	0.01752005	0.03	0.00000000
v9401-application-to-register-as-a-number-plate-supplier-supplementary-form		not	0.01	0.01	0.00755281	0.00755281	0.03	0.00000000
v959-notification-of-name-and-address-check		not	0.01	0.01	0.01924400	0.01924400	0.01	0.00000000
v996-application-for-de-registration		not	0.01	0.01	0.02337189	0.02337189	0.03	0.00000000
vaccine-damage-payment-claim-form		not	0.01	0.02	0.02815857	0.05564070	0.02	0.00000000
variation-certificate-covering-changes-to-an-authorised-design-type-of-road-vehicle-load-compartment-application-form-gv204		not	0.01	0.01	0.01370535	0.01370535	0.01	0.00000000
variations-to-a-goods-vehicle-operators-licence-gv81		not	0.01	0.02	1.34035130	1.35748386	0.02	0.00000000
varicella-zoster-virus-referral-form		not	0.01	0.02	0.40240650	0.49492960	0.01	0.00000000
vary-licence-of-right-terms-by-design-right-or-copyright-owner		not	0.01	0.01	0.01701803	0.01701803	0.01	0.00000000
vat-agricultural-flat-rate-scheme-application-for-certification-vat98		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-annual-accounting-scheme-direct-debit-form-vat-623		not	0.01	0.01	0.01127434	0.01127434	0.01	0.00000000
vat-application-for-permission-to-opt-vat1614h		not	0.01	0.01	0.04740887	0.04740887	0.02	0.00000000
vat-application-for-registration-acquisitions-vat1b		not	0.01	0.02	0.00660658	0.00947580	0.01	0.00000000
vat-application-for-registration-distance-selling-vat1a		not	0.01	0.01	0.05074492	0.05074492	0.02	0.00000000
vat-application-for-registration-vat1		not	0.01	0.02	0.01568785	0.02842817	0.04	0.00000000
vat-application-for-simplified-import-vat-accounting-siva1		not	0.01	0.01	0.00475836	0.00475836	0.01	0.00000000
vat-application-for-vat-group-treatment-company-details-vat51		not	0.01	0.01	0.03873329	0.03873329	0.01	0.00000000
vat-application-for-vat-group-treatment-vat50		not	0.01	0.01	0.04795780	0.04795780	0.01	0.00000000
vat-application-for-vat-refund-by-a-business-person-not-established-in-the-community-vat65a		not	0.01	0.04	0.04469395	0.09576273	0.04	0.00000000
vat-application-to-cancel-your-vat-registration-vat7		not	0.01	0.01	0.02942591	0.02942591	0.02	0.00000000
vat-application-to-change-the-representative-member-of-a-vat-group-vat56		not	0.01	0.01	0.00144863	0.00144863	0.01	0.00000000
vat-application-to-join-the-annual-accounting-and-flat-rate-scheme-vat600aafrs		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-application-to-join-the-annual-accounting-scheme-vat600aa		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
vat-application-to-join-the-flat-rate-scheme-vat600frs		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-appointment-of-tax-representative-vat1tr		not	0.01	0.02	0.00948782	0.01242237	0.02	0.00000000
vat-authority-for-an-agent-to-form-or-amend-a-vat-group-vat53		not	0.01	0.01	0.02938309	0.02938309	0.01	0.00000000
vat-ceasing-to-be-a-relevant-associate-in-relation-to-an-option-to-tax-vat1614b		not	0.01	0.01	0.00813055	0.00813055	0.01	0.00000000
vat-certificate-of-status-of-business-person-vat66a		not	0.01	0.01	0.00498323	0.00498323	0.01	0.00000000
vat-certificate-to-disapply-the-option-to-tax-buildings-for-conversion-into-dwellings-etc-vat1614d		not	0.01	0.01	0.00776567	0.00776567	0.01	0.00000000
vat-certificate-to-disapply-the-option-to-tax-land-sold-to-housing-associations-vat1614g		not	0.01	0.01	0.00721903	0.00721903	0.01	0.00000000
vat-changes-to-registration-details-vat484		not	0.01	0.01	0.00686932	0.00686932	0.01	0.00000000
vat-claim-for-refund-by-local-authorities-and-similar-bodies-vat126		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
vat-cross-border-vat-refunds-for-republic-of-serbia-request-for-vat-refund-by-a-foreign-taxpayer		not	0.01	0.02	0.00269012	0.00508137	0.01	0.00000000
vat-customs-dutyimport-vat-relating-to-imports-by-post-bor286		not	0.02	0.01	0.16728792	0.16728792	0.03	0.00000000
vat-declaration-for-higher-level-stewardship-agreement-holders		not	0.01	0.01	0.01362181	0.01362181	0.01	0.00000000
vat-deferment-schedule-simplified-import-vat-accounting-reduced-security-siva2		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
vat-ec-sales-list-continuation-sheet-vat101a		not	0.01	0.01	0.09286890	0.09286890	0.01	0.00000000
vat-ec-sales-list-correction-sheet-vat101b		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-ec-sales-list-vat101		not	0.01	0.02	0.25443287	0.26908913	0.02	0.00000000
vat-inherited-goods-making-a-claim-for-relief-from-duty-and-vat-c1421		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-insolvent-traders-claim-for-input-tax-after-deregistration-vat426		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-instruction-to-your-bank-or-building-society-to-pay-by-direct-debit-vatc9		not	0.01	0.01	0.01321182	0.01321182	0.01	0.00000000
vat-late-submission-of-online-vat-return-reasonable-excuse-wt2		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
vat-mineral-oils-deferment-advice-for-vat-due-on-removal-from-warehouse-vat908		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-mini-one-stop-shop-non-union-return		not	0.01	0.02	0.01003685	0.01885271	0.02	0.00000000
vat-mini-one-stop-shop-union-return		not	0.01	0.02	0.01671190	0.03248329	0.02	0.00000000
vat-new-buildings-exclusion-from-an-option-to-tax-vat1614f		not	0.01	0.01	0.00786257	0.00786257	0.01	0.00000000
vat-new-means-of-transport-removal-from-the-uk-to-another-member-state-of-the-ec-vat411		not	0.01	0.01	0.03141108	0.03141108	0.02	0.00000000
vat-new-means-of-transport-ships-and-aircraft-notification-of-acquisition-vat415		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
vat-new-motorised-land-vehicle-purchase-by-ec-vat-registered-enterprises-only-vat411a		not	0.01	0.01	0.00741920	0.00741920	0.01	0.00000000
vat-notification-of-a-real-estate-election-vat1614e		not	0.01	0.01	0.00794554	0.00794554	0.01	0.00000000
vat-notification-of-an-option-to-tax-land-andor-buildings-vat1614a		not	0.01	0.01	0.03608913	0.03608913	0.02	0.00000000
vat-notification-of-errors-in-vat-returns-vat-652		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-notification-of-insolvency-details-vat769		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
vat-partnership-details-vat2		not	0.01	0.01	0.03238211	0.03238211	0.01	0.00000000
vat-pay-by-bacs-or-standing-order-vat-622		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
vat-reclaim-or-claim-vat-relief-on-cancelling-vat-registration-vat427		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-refunds-for-diy-housebuilders-claim-form-and-notes-for-conversions-vat431c		not	0.01	0.01	0.02833395	0.02833395	0.03	0.00000000
vat-refunds-for-diy-housebuilders-claim-form-for-new-houses-vat431nb		not	0.01	0.01	0.02682495	0.02682495	0.03	0.00000000
vat-registration-notification-vat1c		not	0.01	0.02	0.00826521	0.01063089	0.01	0.00000000
vat-request-for-transfer-of-a-registration-number-vat68		not	0.01	0.01	0.01574173	0.01574173	0.01	0.00000000
vat-revoking-an-option-to-tax-after-20-years-vat1614j		not	0.01	0.01	0.00813866	0.00813866	0.01	0.00000000
vat-revoking-an-option-to-tax-within-6-month-cooling-off-period-vat1614c		not	0.01	0.01	0.00807352	0.00807352	0.01	0.00000000
vat-statement-of-vat-on-goods-sold-in-satisfaction-of-a-debt-vat833		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
vat-survey-of-purchases-of-adapted-boats-used-by-suppliers-on-voluntary-scheme-vat1617b		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
vat-survey-of-purchases-of-adapted-vehicles-used-by-suppliers-on-voluntary-scheme-vat1617a		not	0.01	0.01	0.02643137	0.02643137	0.02	0.00000000
vat-vat-registration-land-and-property-vat-5l		not	0.01	0.01	0.03680992	0.03680992	0.02	0.00000000
vcert-online-confidential-medical-information		not	0.01	0.01	0.07100649	0.07100649	0.02	0.00000000
vcse-health-and-wellbeing-alliance-application-form		not	0.02	0.03	0.08382149	0.10995111	0.03	0.00000000
vdiab1gen-confidential-medical-information		not	0.01	0.01	0.05974712	0.05974712	0.04	0.00000000
vdiab1i-confidential-medical-information		not	0.01	0.01	0.05193348	0.05193348	0.08	0.00000000
vdiab1sg-confidential-medical-information		not	0.01	0.01	0.05201950	0.05201950	0.06	0.00000000
verification-report-opinion-statement-emissions-trading-system		not	0.01	0.01	0.00848608	0.00848608	0.01	0.00000000
verify-identity-citizen-id1		not	0.01	0.02	0.09124632	0.10346766	0.04	0.00000000
verify-identity-corporate-body-id2		not	0.01	0.02	0.09701023	0.10973148	0.05	0.00000000
vero-cytotoxin-producing-escherichia-coli-questionnaire		not	0.01	0.01	0.07239952	0.07239952	0.01	0.00000000
vessel-monitoring-system-data-request		not	0.01	0.01	0.01251307	0.01251307	0.01	0.00000000
vessel-monitoring-system-manufacturers-and-engineers		not	0.01	0.02	0.02460575	0.04486532	0.01	0.00000000
vessel-monitoring-system-register-or-re-register-your-device		not	0.01	0.01	0.02162037	0.02162037	0.02	0.00000000
vessel-safety-information-card		not	0.01	0.01	0.00677700	0.00677700	0.01	0.00000000
vessel-safety-information-form		not	0.01	0.01	0.00676689	0.00676689	0.01	0.00000000
vessel-traffic-services-vts-operators-application-msf-4807		not	0.01	0.01	0.03641815	0.03641815	0.01	0.00000000
veterinary-medicines-application-forms-for-manufacture-or-wholesale		not	0.01	0.03	0.10896978	0.26300955	0.02	0.00000000
virtual-courts-claim-form		not	0.01	0.01	0.04801750	0.04801750	0.04	0.00000000
vitesse-100-examination-psv-application-form-psvv-1		not	0.01	0.01	0.13056221	0.13056221	0.01	0.00000000
vo-6003-online-request-for-rental-information-form		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
vo-6010-request-for-rental-information-public-houses		not	0.01	0.02	0.08250999	0.11793680	0.02	0.00000000
vo6004-request-for-rent-and-lease-details-scheduled-rent-review		not	0.01	0.02	0.01568327	0.03112879	0.01	0.00000000
voa-questionnaire-for-primary-care-estate-improvements-and-new-developments		not	0.01	0.01	0.07715101	0.07715101	0.01	0.00000000
voch1-online-confidential-medical-information		not	0.01	0.01	0.06156750	0.06156750	0.01	0.00000000
voluntary-adoption-agencies-sc4-notification-of-new-branch		not	0.01	0.02	0.05103245	0.07762337	0.01	0.00000000
voluntary-bat-roost-visitor-expression-of-interest		not	0.01	0.01	0.01352396	0.01352396	0.01	0.00000000
voluntary-disclosure-contractual-disclosure-facility-cdf1		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
voluntary-individual-vehicle-approval-viva-1		not	0.01	0.02	0.05317764	0.07157755	0.01	0.00000000
volunteer-expression-of-interest-form		not	0.01	0.01	0.01231918	0.01231918	0.01	0.00000000
vosa-pre-funded-customer-account-application-form		not	0.01	0.01	0.02107172	0.02107172	0.01	0.00000000
voter-registration-forms-paper-versions		not	0.01	0.22	0.19310637	1.07478657	0.1	0.00000000
vtl301-application-for-a-first-trade-licence		not	0.01	0.01	0.02639322	0.02639322	0.1	0.00000000
vtl308-application-for-a-refund-of-tax-on-surrender-of-a-trade-licence		not	0.01	0.01	0.02179222	0.02179222	0.02	0.00000000
vtl310-application-for-a-duplicate-or-replacement-trade-licence-or-plates		not	0.01	0.01	0.02406998	0.02406998	0.04	0.00000000
vtl318-trade-licence-reminder-application-form		not	0.01	0.01	0.01845894	0.01845894	0.02	0.00000000
war-pension-and-afcs-notice-of-appeal		not	0.02	0.01	0.27113285	0.27113285	0.01	0.00000000
war-pensioners-mobility-supplement--2		not	0.02	0.01	0.25460854	0.25460854	0.02	0.00000000
war-pensions-constant-attendance-allowance		not	0.02	0.01	0.30942774	0.30942774	0.02	0.00000000
war-pensions-unemployability-supplement		not	0.02	0.01	0.23193951	0.23193951	0.03	0.00000000
war-widows-war-widowers-pension-funeral-expenses		not	0.02	0.01	0.20942860	0.20942860	0.02	0.00000000
waste-exemptions-bulk-registration-form		not	0.01	0.01	0.00925560	0.00925560	0.02	0.00000000
waste-shipments-waste-referred-to-in-article-32-and-4		not	0.01	0.01	0.00385895	0.00385895	0.01	0.00000000
watch-rating-certificates-msf-4371		not	0.01	0.01	0.09394569	0.09394569	0.02	0.00000000
water-abstraction-and-impoundment-appeal-form		not	0.01	0.02	0.02737484	0.04773493	0.01	0.00000000
water-abstraction-reduce-the-amount-you-can-abstract		not	0.01	0.01	0.12515678	0.12515678	0.02	0.00000000
water-voles-licence-to-displace-them-for-development-projects		not	0.01	0.03	0.04188910	0.06353512	0.02	0.00000000
water-voles-licence-to-displace-them-for-work-on-flood-defences-water-courses-or-drainage-systems		not	0.01	0.04	0.04432688	0.07342005	0.04	0.00000000
weeds-act-1959-complaint-form-and-leaflet		not	0.01	0.02	0.12290554	0.17604103	0.01	0.00000000
welfare-of-animals-at-the-time-of-killing-licence-application		not	0.01	0.01	0.09207201	0.09207201	0.01	0.00000000
welfare-of-animals-transport-order-2006-application-for-inspection		not	0.02	0.01	0.00597019	0.00597019	0.02	0.00000000
what-to-do-with-a-passport-when-the-passport-holder-has-died		not	0.01	0.02	0.00869408	0.01710510	0.01	0.00000000
white-clawed-crayfish-licence-to-catch-them-to-carry-out-maintenance		not	0.01	0.03	0.04497633	0.06114368	0.02	0.00000000
white-clawed-crayfish-survey-or-research-licence		not	0.01	0.01	0.04997854	0.04997854	0.05	0.00000000
whole-of-registered-title-assent-as1		not	0.01	0.02	0.03423452	0.04249229	0.05	0.00000000
wild-animals-licence-for-individuals-to-possess-specimens		not	0.01	0.01	0.03636627	0.03636627	0.04	0.00000000
wild-birds-and-animals-licence-to-possess-samples		not	0.01	0.01	0.02747669	0.02747669	0.03	0.00000000
wild-birds-apply-for-a-licence-to-disturb-them-for-photography		not	0.01	0.01	0.06568069	0.06568069	0.02	0.00000000
wild-birds-apply-for-a-licence-to-disturb-them-for-science		not	0.01	0.01	0.06223316	0.06223316	0.02	0.00000000
wild-birds-apply-for-a-licence-to-kill-wild-birds-for-falconry		not	0.01	0.02	0.06560030	0.10457449	0.02	0.00000000
wild-birds-licence-for-vets-to-rehabilitate-them		not	0.01	0.01	0.02869167	0.02869167	0.04	0.00000000
wild-birds-licence-to-disturb-kill-or-take-for-health-or-safety		not	0.01	0.02	0.07082634	0.11183777	0.03	0.00000000
wild-birds-licence-to-disturb-kill-or-take-for-science		not	0.01	0.02	0.06214418	0.09924488	0.02	0.00000000
wild-birds-licence-to-incubate-and-rear-their-eggs-and-chicks		not	0.01	0.01	0.02833099	0.02833099	0.03	0.00000000
wild-birds-licence-to-keep-them-for-rehabilitation		not	0.01	0.01	0.03613281	0.03613281	0.04	0.00000000
wild-birds-licence-to-release-schedule-9-species		not	0.02	0.01	0.03033152	0.03033152	0.04	0.00000000
wild-birds-licence-to-remove-abandoned-or-unsuccessful-eggs		not	0.01	0.01	0.02839851	0.02839851	0.03	0.00000000
wild-birds-licence-to-sell-captive-bred-live-wild-birds		not	0.01	0.01	0.03109055	0.03109055	0.03	0.00000000
wild-birds-licence-to-sell-dead-wild-birds		not	0.01	0.01	0.02948542	0.02948542	0.04	0.00000000
wild-birds-licence-to-sell-them-without-correct-rings		not	0.01	0.02	0.04323168	0.07782888	0.02	0.00000000
wild-birds-licence-to-show-captive-bred-birds-competitively		not	0.01	0.01	0.03598328	0.03598328	0.04	0.00000000
wild-birds-licence-to-take-or-kill-for-conservation-purposes		not	0.01	0.01	0.03300724	0.03300724	0.04	0.00000000
wild-birds-licence-to-take-or-kill-for-health-or-safety-purposes		not	0.01	0.01	0.04073982	0.04073982	0.05	0.00000000
wild-birds-licence-to-take-or-kill-to-prevent-damage-or-disease		not	0.01	0.01	0.04065619	0.04065619	0.04	0.00000000
wild-birds-report-actions-taken-for-science-or-photography		not	0.01	0.01	0.05585976	0.05585976	0.02	0.00000000
winter-fuel-payment-claim-form		not	0.01	0.02	0.00610485	0.01216431	0.08	0.00000000
winter-fuel-payment-claim-form-eea-and-switzerland		not	0.01	0.01	0.00077991	0.00077991	0.09	0.00000000
withdraw-a-restriction-registration-rx4		not	0.01	0.02	0.04284449	0.05227509	0.03	0.00000000
withdraw-a-striking-off-application-by-company-ds02		not	0.01	0.01	0.05405388	0.05405388	0.02	0.00000000
withdraw-a-striking-off-application-by-company-ds02c		not	0.01	0.01	0.14203434	0.14203434	0.01	0.00000000
withdraw-register-of-directors-information-from-the-central-register-ew01c		not	0.01	0.01	0.02017622	0.02017622	0.01	0.00000000
withdraw-register-of-secretaries-information-from-the-central-register-ew03c		not	0.01	0.01	0.02093639	0.02093639	0.01	0.00000000
withdraw-striking-off-application-limited-liability-partnership-ll-ds02		not	0.01	0.01	0.07617226	0.07617226	0.02	0.00000000
withdraw-striking-off-application-limited-liability-partnership-ll-ds02c		not	0.01	0.01	0.09011011	0.09011011	0.01	0.00000000
wmp5-application-form-approved-authorised-treatment-facility-aatf		not	0.01	0.01	0.08077822	0.08077822	0.02	0.00000000
wmp6-application-form-approved-exporter-ae		not	0.01	0.01	0.07026377	0.07026377	0.02	0.00000000
women-in-the-new-egypt-film-competition-call-for-proposals		not	0.01	0.02	0.01632366	0.02958565	0.03	0.00000000
women-s-land-army-and-timber-corps-veterans-badge-application-form		not	0.01	0.01	0.02182322	0.02182322	0.05	0.00000000
woodland-management-plans-and-tree-health-support-change-an-agreement		not	0.04	0.01	0.04459152	0.04459152	0.01	0.00000000
woodland-management-plans-and-tree-health-support-change-ownership		not	0.04	0.01	0.13683395	0.13683395	0.01	0.00000000
woodland-management-plans-and-tree-health-support-claim-a-payment		not	0.04	0.01	0.06151037	0.06151037	0.01	0.00000000
workplace-charging-scheme-application-form		not	0.01	0.01	0.05039577	0.05039577	0.01	0.00000000
workplace-charging-scheme-grant-claim-form-for-installing-charging-equipment		not	0.01	0.01	0.01933880	0.01933880	0.01	0.00000000
would-disclosing-information-harm-the-business-make-an-application		not	0.01	0.02	0.01854820	0.03685360	0.01	0.00000000
wr165-notice-to-transfer-a-water-abstraction-or-impoundment-licence		not	0.01	0.01	0.20758047	0.20758047	0.02	0.00000000
wr166-application-and-agreement-to-apportion-a-water-abstraction-licence		not	0.01	0.01	0.21666565	0.21666565	0.02	0.00000000
wr2-application-to-make-minor-changes-to-a-water-abstraction-licence		not	0.01	0.01	0.18186865	0.18186865	0.02	0.00000000
wr4-application-to-revoke-cancel-a-water-abstraction-licence		not	0.01	0.01	0.19990044	0.19990044	0.02	0.00000000
writ-or-order-registration-application-k4		not	0.01	0.02	0.03209343	0.03694954	0.01	0.00000000
yacht-information-sheets-existing-and-newbuild-yachts		not	0.01	0.02	0.01105719	0.01331730	0.01	0.00000000
yacht-training-record-book-trb		not	0.01	0.01	0.07686281	0.07686281	0.01	0.00000000
yjb-terms-and-conditions-of-contract		not	0.01	0.02	0.02177973	0.04281931	0.01	0.00000000
young-peoples-advocate-on-sexual-violence-and-exploitation		not	0.01	0.02	0.02567863	0.03126135	0.01	0.00000000
young-person-custody-exit-form		not	0.01	0.05	0.07790718	0.13661900	0.01	0.00000000
zoo-animals-feed-application-to-use-abps		not	0.01	0.01	0.03842974	0.03842974	0.02	0.00000000
zoo-inspections		not	0.02	0.03	0.04844904	0.11857758	0.01	0.00000000
abnormal-load-movements-application-and-notification-forms	FA029	sample	0.01	0.1	0.25600815	0.34121485	0.05	0.00000000
academy-conversion-application-forms	FA016	sample	0.01	0.06	0.01889544	0.08357563	0.08	0.00000000
afbss-form-1	FA056	sample	0.01	0.03	0.08966904	0.09832850	0.06	0.00000000
agricultural-wages-complaint-form	FA006	sample	0.02	0.02	0.02063751	0.03197231	0.02	0.00000000
anglian-waterways-application-for-registration-of-a-houseboat	FA132	sample	0.01	0.01	0.02715693	0.02715693	0.04	0.00000000
animal-gathering-licence-application	FA112	sample	0.01	0.08	0.03261375	0.18441467	0.04	0.00000000
application-for-a-replacement-biometric-residence-permit-brprc	FA001	sample	0.01	0.02	0.08082018	0.11503096	0.06	0.00000000
application-for-a-residence-stamp-non-eea-family-of-croatian-form-cr5	FA077	sample	0.01	0.01	0.04508505	0.04508505	0.06	0.00000000
application-for-a-safe-manning-document-msf-4227	FA012	sample	0.01	0.01	0.00614281	0.00614281	0.01	0.00000000
application-for-a-vehicle-registration-certificate	FA101	sample	0.01	0.01	0.07622423	0.07622423	0.07	0.00000000
application-for-an-integration-loan	FA030	sample	0.01	0.02	0.03011904	0.04869442	0.02	0.00000000
application-for-asylum-support-form-asf1	GC110	sample	0.01	0.03	0.09522200	0.14747591	0.05	0.00000000
application-for-continued-registration-with-oisc	FA087	sample	0.01	0.01	0.19307489	0.19307489	0.04	0.00000000
application-for-fish-pass-approval	FA190	sample	0.01	0.02	0.10884466	0.15327635	0.01	0.00000000
application-for-mot-authorisation-vt01	FA161	sample	0.01	0.01	0.09828691	0.09828691	0.01	0.00000000
application-for-the-registration-of-land-as-a-town-or-village-green	FA042	sample	0.01	0.01	0.00931826	0.00931826	0.01	0.00000000
application-form-to-correct-details-on-a-birth-registration	FA151	sample	0.01	0.02	0.01624432	0.02701187	0.02	0.00000000
application-to-be-made-a-party-to-proceedings	FA107	sample	0.01	0.01	0.01074934	0.01074934	0.01	0.00000000
